Replace Part DA? LM317 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with LM317 from Schlib1.SchLib
Replace Part DD? STM32F103C8T6 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with STM32F103C8T6 from Schlib1.SchLib
Replace Part DD? STP08DP05 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with STP08DP05 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part DD? 74HC595 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 74HC595 from Schlib1.SchLib
Replace Part R? 240Ом in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 240Ом from Schlib1.SchLib
Replace Part R? 390 Ом in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 390 Ом from Schlib1.SchLib
Replace Part RP? Potent in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with Potent from Schlib1.SchLib
Replace Part U? HC-05 in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with HC-05 from Schlib1.SchLib
Replace Part XS? USB in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with USB from Schlib1.SchLib
Replace Part С? 0.1uF in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 0.1uF from Schlib1.SchLib
Replace Part С? 1u.F in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 1u.F from Schlib1.SchLib
Replace Part С? 0.1uF in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 0.1uF from Schlib1.SchLib
Replace Part С? 0.1uF in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 0.1uF from Schlib1.SchLib
Replace Part С? 0.1uF in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 0.1uF from Schlib1.SchLib
Replace Part С? 0.1uF in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 0.1uF from Schlib1.SchLib
Replace Part С? 0.1uF in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 0.1uF from Schlib1.SchLib
Replace Part С? 0.1uF in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 0.1uF from Schlib1.SchLib
Replace Part С? 0.1uF in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 0.1uF from Schlib1.SchLib
Replace Part С? 0.1uF in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 0.1uF from Schlib1.SchLib
Replace Part С? 0.1uF in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 0.1uF from Schlib1.SchLib
Replace Part С? 0.1uF in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 0.1uF from Schlib1.SchLib
Replace Part С? 0.1uF in C:\Диплом\Куб\PCB_Project\Sheet1.SchDoc with 0.1uF from Schlib1.SchLib
